algorithm_name
수학
구현
다이나믹 프로그래밍
자료 구조
그래프 이론
그리디 알고리즘
문자열
브루트포스 알고리즘
그래프 탐색
정렬
애드 혹
기하학
트리
정수론
세그먼트 트리
이분 탐색
해 구성하기
사칙연산
시뮬레이션
누적 합
조합론
너비 우선 탐색
많은 조건 분기
집합과 맵
깊이 우선 탐색
비트마스킹
최단 경로
해시를 사용한 집합과 맵
데이크스트라
백트래킹
스위핑
분리 집합
트리에서의 다이나믹 프로그래밍
파싱
트리를 사용한 집합과 맵
우선순위 큐
게임 이론
매개 변수 탐색
분할 정복
두 포인터
스택
확률론
소수 판정
느리게 갱신되는 세그먼트 트리
최대 유량
비트필드를 이용한 다이나믹 프로그래밍
오프라인 쿼리
분할 정복을 이용한 거듭제곱
배낭 문제
재귀
임의 정밀도 / 큰 수 연산
값 / 좌표 압축
방향 비순환 그래프
유클리드 호제법
최소 스패닝 트리
런타임 전의 전처리
볼록 껍질
위상 정렬
에라토스테네스의 체
선형대수학
이분 매칭
포함 배제의 원리
최소 공통 조상
희소 배열
격자 그래프
해싱
무작위화
플로이드–워셜
모듈로 곱셈 역원
강한 연결 요소
작은 집합에서 큰 집합으로 합치는 테크닉
선분 교차 판정
고속 푸리에 변환
미적분학
역추적
트라이
제곱근 분할법
덱
홀짝성
삼분 탐색
3차원 기하학
휴리스틱
접미사 배열과 lcp 배열
스프라그–그런디 정리
오일러 경로 테크닉
최소 비용 최대 유량
슬라이딩 윈도우
볼록 껍질을 이용한 최적화
센트로이드
중간에서 만나기
피타고라스 정리
순열 사이클 분할
비트 집합
kmp
가장 긴 증가하는 부분 수열 문제
가우스 소거법
소인수분해
heavy-light 분할
다각형의 넓이
기댓값의 선형성
이분 그래프
최대 유량 최소 컷 정리
센트로이드 분할
물리학
차분 배열 트릭
0-1 너비 우선 탐색
페르마의 소정리
오일러 경로
2-sat
단절점과 단절선
큐
플러드 필
외판원 순회 문제
비둘기집 원리
퍼시스턴트 세그먼트 트리
함수형 그래프
평면 그래프
오일러 피 함수
이중 연결 요소
덱을 이용한 구간 최댓값 트릭
볼록 다각형 내부의 점 판정
중국인의 나머지 정리
연결 리스트
자릿수를 이용한 다이나믹 프로그래밍
선인장
벨만–포드
mo's
생성 함수
각도 정렬
확장 유클리드 호제법
스플레이 트리
트리에서의 전방향 다이나믹 프로그래밍
분할 정복을 사용한 최적화
트리의 지름
불변량 찾기
병렬 이분 탐색
반평면 교집합
조화수
최대 부분 배열 문제
회전하는 캘리퍼스
오일러 지표 (χ=v-e+f)
정규 표현식
함수 개형을 이용한 최적화
아호-코라식
덱을 이용한 다이나믹 프로그래밍
다차원 세그먼트 트리
매내처
밀러–라빈 소수 판별법
부분집합의 합 다이나믹 프로그래밍
폴라드 로
뫼비우스 반전 공식
트리 동형 사상
머지 소트 트리
오목 다각형 내부의 점 판정
커넥션 프로파일을 이용한 다이나믹 프로그래밍
최장 공통 부분 수열 문제
라빈–카프
담금질 기법
링크/컷 트리
수치해석
홀의 결혼 정리
벌리캠프–매시
통계학
데카르트 트리
오프라인 동적 연결성 판정
z
헝가리안
aliens 트릭
트리 압축
도형에서의 불 연산
선형 계획법
보로노이 다이어그램
뤼카 정리
리–차오 트리
배타적 논리합 기저 (gf(2))
쌍대 그래프
그린 정리
서큘레이션
쌍대성
세그먼트 트리 비츠
다항식 보간법
일반적인 매칭
단조 큐를 이용한 최적화
매트로이드
픽의 정리
다항식을 이용한 선형점화식 계산
4차원 이상의 기하학
이산 로그
최소 외접원
트리 분할
cdq 분할 정복
번사이드 보조정리
접미사 트리
차수열
탑 트리
양방향 탐색
도미네이터 트리
차분 공격
utf-8 입력 처리
bulldozer 트릭
회문 트리
춤추는 링크
크누스 x
안정 결혼 문제
경사 하강법
피사노 주기
델로네 삼각분할
베이즈 정리
로프
린드스트롬–게셀–비엔노 보조정리
유리 등차수열의 내림 합
크누스 최적화
이산 제곱근
다중 대입값 계산
비트 집합을 이용한 최장 공통 부분 수열 최적화
히르쉬버그
현 그래프
생일 문제
유향 최소 스패닝 트리
스토어–바그너
지수승강 보조정리
다이얼
하켄부시 게임
보이어–무어 다수결 투표
키네틱 세그먼트 트리
레드-블랙 트리
